province,cultivated_areas,harvested_area,product,rain,fertilizer_price,oil_price,plant_price,year,type
เชียงราย,1351731,1342387,838417,1904.5,18843.97,36.75,9.86,2555,ข้าว
พะเยา,669874,641151,372732,1133.4,18843.97,36.75,9.86,2555,ข้าว
ลำปาง,445262,435884,241650,1219.3,18843.97,36.75,9.86,2555,ข้าว
ลำพูน,119668,113951,70125,925.7,18843.97,36.75,9.86,2555,ข้าว
เชียงใหม่,497622,485236,321713,958.4,18843.97,36.75,9.86,2555,ข้าว
แม่ฮ่องสอน,144387,142387,66793,1565.7,18843.97,36.75,9.86,2555,ข้าว
ตาก,292147,273800,128538,1031.4,18843.97,36.75,9.86,2555,ข้าว
กําแพงเพชร,1487601,1473847,895773,1301.1,18843.97,36.75,9.86,2555,ข้าว
สุโขทัย,1145457,1117613,653472,1199.1,18843.97,36.75,9.86,2555,ข้าว
แพร่,291597,289573,178396,1383.5,18843.97,36.75,9.86,2555,ข้าว
น่าน,251802,247459,129790,1159.8,18843.97,36.75,9.86,2555,ข้าว
อุตรดิตถ์,635971,628857,397113,1475.3,18843.97,36.75,9.86,2555,ข้าว
พิษณุโลก,1489693,1478189,912405,1233.5,18843.97,36.75,9.86,2555,ข้าว
พิจิตร,1814091,1797951,1106662,1077.5,18843.97,36.75,9.86,2555,ข้าว
นครสวรรค์,2518496,2456481,1405702,1118.7,18843.97,36.75,9.86,2555,ข้าว
อุทัยธานี,611230,607798,378609,1072,18843.97,36.75,9.86,2555,ข้าว
เพชรบูรณ์,1160955,1140881,646946,1044.5,18843.97,36.75,9.86,2555,ข้าว
เลย,434172,426479,165166,1052.4,18843.97,36.75,9.86,2555,ข้าว
หนองบัวลำภู,880323,621582,231529,1264.8,18843.97,36.75,9.86,2555,ข้าว
อุดรธานี,2059357,1682466,623639,888.5,18843.97,36.75,9.86,2555,ข้าว
หนองคาย,568602,539260,203255,1552,18843.97,36.75,9.86,2555,ข้าว
บึงกาฬ,555386,456602,147430,1398,18843.97,36.75,9.86,2555,ข้าว
สกลนคร,2083998,1760844,628583,1741,18843.97,36.75,9.86,2555,ข้าว
นครพนม,1363643,1338647,520009,2037.3,18843.97,36.75,9.86,2555,ข้าว
มุกดาหาร,492102,376737,134895,1051.5,18843.97,36.75,9.86,2555,ข้าว
ยโสธร,1344229,1108786,401924,1274.9,18843.97,36.75,9.86,2555,ข้าว
อํานาจเจริญ,1029901,850905,276627,1256.3,18843.97,36.75,9.86,2555,ข้าว
อุบลราชธานี,4314831,4163693,1432101,1658.9,18843.97,36.75,9.86,2555,ข้าว
ศรีสะเกษ,3053537,2933122,1078470,1324.3,18843.97,36.75,9.86,2555,ข้าว
สุรินทร์,3219076,2885634,1093665,1009.1,18843.97,36.75,9.86,2555,ข้าว
บุรีรัมย์,3056421,2640771,996975,1251,18843.97,36.75,9.86,2555,ข้าว
มหาสารคาม,2227749,1822023,677252,1126.4,18843.97,36.75,9.86,2555,ข้าว
ร้อยเอ็ด,3103007,2304416,857215,1204.1,18843.97,36.75,9.86,2555,ข้าว
กาฬสินธุ์,1584251,1301734,469666,1298.3,18843.97,36.75,9.86,2555,ข้าว
ขอนแก่น,2574947,2107302,706209,1034.4,18843.97,36.75,9.86,2555,ข้าว
ชัยภูมิ,1712449,1557696,588561,1087.2,18843.97,36.75,9.86,2555,ข้าว
นครราชสีมา,3829239,2973307,1070390,1054,18843.97,36.75,9.86,2555,ข้าว
สระบุรี,405427,400135,253816,1045.2,18843.97,36.75,9.86,2555,ข้าว
ลพบุรี,738780,723155,403685,1058.8,18843.97,36.75,9.86,2555,ข้าว
สิงห์บุรี,316974,314592,219449,1103,18843.97,36.75,9.86,2555,ข้าว
ชัยนาท,787593,784678,519376,1077.8,18843.97,36.75,9.86,2555,ข้าว
สุพรรณบุรี,1212173,1196404,841281,1201.7,18843.97,36.75,9.86,2555,ข้าว
อ่างทอง,345606,345120,230754,1263.8,18843.97,36.75,9.86,2555,ข้าว
พระนครศรีอยุธยา,959758,941648,616768,1529.6,18843.97,36.75,9.86,2555,ข้าว
นนทบุรี,119324,118210,85569,1534.6,18843.97,36.75,9.86,2555,ข้าว
กรงุเทพมหานคร,113302,112520,76362,1728.3,18843.97,36.75,9.86,2555,ข้าว
ปทุมธานี,338306,337476,250525,1376.4,18843.97,36.75,9.86,2555,ข้าว
นครนายก,457979,452485,257742,1534.5,18843.97,36.75,9.86,2555,ข้าว
ปราจีนบุรี,461574,403763,169443,1910.8,18843.97,36.75,9.86,2555,ข้าว
ฉะเชิงเทรา,740646,724528,458849,1654,18843.97,36.75,9.86,2555,ข้าว
สระแก้ว,809398,718257,222481,1588.7,18843.97,36.75,9.86,2555,ข้าว
จันทบุรี,26395,26395,9715,2624.9,18843.97,36.75,9.86,2555,ข้าว
ตราด,21804,21612,8675,3648.2,18843.97,36.75,9.86,2555,ข้าว
ระยอง,21760,21580,9064,5559.4,18843.97,36.75,9.86,2555,ข้าว
ชลบุรี,85862,79251,39125,1358.7,18843.97,36.75,9.86,2555,ข้าว
สมุทรปราการ,45139,44993,36045,1062.3,18843.97,36.75,9.86,2555,ข้าว
สมุทรสาคร,14118,13988,9584,1345.6,18843.97,36.75,9.86,2555,ข้าว
นครปฐม,405611,401106,303371,1175,18843.97,36.75,9.86,2555,ข้าว
กาญจนบุรี,420433,411962,253828,1146.4,18843.97,36.75,9.86,2555,ข้าว
ราชบุรี,335574,328961,224353,1028.3,18843.97,36.75,9.86,2555,ข้าว
สมุทรสงคราม,3554,3490,2272,1208.6,18843.97,36.75,9.86,2555,ข้าว
เพชรบุรี,320271,319810,223873,1062.8,18843.97,36.75,9.86,2555,ข้าว
ประจวบคีรีขันธ์,45904,44179,25110,1175.8,18843.97,36.75,9.86,2555,ข้าว
ชุมพร,6859,6731,2498,2084.1,18843.97,36.75,9.86,2555,ข้าว
ระนอง,772,772,256,5559.4,18843.97,36.75,9.86,2555,ข้าว
สุราษฎร์ธานี,7791,7478,2852,1559,18843.97,36.75,9.86,2555,ข้าว
พังงา,1718,1718,552,2138.3,18843.97,36.75,9.86,2555,ข้าว
ภูเก็ต,69,69,34,2788.3,18843.97,36.75,9.86,2555,ข้าว
กระบี่,3252,3252,1125,2764.1,18843.97,36.75,9.86,2555,ข้าว
ตรัง,13189,13189,5046,2572.9,18843.97,36.75,9.86,2555,ข้าว
นครศรีธรรมราช,331435,321562,149242,2771.5,18843.97,36.75,9.86,2555,ข้าว
พัทลุง,145051,128249,59502,2111.5,18843.97,36.75,9.86,2555,ข้าว
สงขลา,229126,227282,128723,2686.9,18843.97,36.75,9.86,2555,ข้าว
สตูล,32881,32459,12677,2595.7,18843.97,36.75,9.86,2555,ข้าว
ปัตตานี,109616,107900,40492,1735.9,18843.97,36.75,9.86,2555,ข้าว
ยะลา,31545,31239,7248,2147.4,18843.97,36.75,9.86,2555,ข้าว
นราธิวาส,69220,68832,24144,3026.9,18843.97,36.75,9.86,2555,ข้าว
เชียงราย,1339975,1313656,812922,2141.5,16028.76,38.32,7.89,2556,ข้าว
พะเยา,665999,642588,372551,1177.7,16028.76,38.32,7.89,2556,ข้าว
ลำปาง,432350,424404,234793,1101.4,16028.76,38.32,7.89,2556,ข้าว
ลำพูน,116936,111634,68990,1137,16028.76,38.32,7.89,2556,ข้าว
เชียงใหม่,477417,459535,305277,1288,16028.76,38.32,7.89,2556,ข้าว
